City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,2020-05-11 00:55:19,-33.65,115.33,57.0,71,67,3.6,broken clouds
1,Albany,US,2020-05-11 00:55:02,42.6,-73.97,50.0,54,100,2.53,light rain
2,Georgetown,MY,2020-05-11 00:55:19,5.41,100.34,80.6,94,20,4.7,few clouds
3,Nogliki,RU,2020-05-11 00:55:19,51.83,143.17,46.6,63,100,8.75,overcast clouds
4,Bandarbeyla,SO,2020-05-11 00:55:19,9.49,50.81,81.32,80,100,8.32,overcast clouds
5,Rikitea,PF,2020-05-11 00:55:19,-23.12,-134.97,75.29,77,61,10.67,broken clouds
6,Dossor,KZ,2020-05-11 00:55:19,47.53,52.98,55.27,73,100,12.91,overcast clouds
7,Lavrentiya,RU,2020-05-11 00:55:19,65.58,-171.0,36.19,93,100,4.59,overcast clouds
8,Ribeira Grande,PT,2020-05-11 00:55:19,38.52,-28.7,58.41,69,0,19.17,clear sky
9,Pisco,PE,2020-05-11 00:54:02,-13.7,-76.22,66.2,82,5,14.99,clear sky
10,Ixtapa,MX,2020-05-11 00:55:20,20.7,-105.2,82.4,69,20,11.41,few clouds
11,Klaksvik,FO,2020-05-11 00:55:20,62.23,-6.59,30.2,63,85,1.12,overcast clouds
12,San Patricio,MX,2020-05-11 00:55:20,19.22,-104.7,80.6,83,40,9.17,scattered clouds
13,Hovd,MN,2020-05-11 00:55:20,48.01,91.64,55.81,29,0,0.67,clear sky
14,Yulara,AU,2020-05-11 00:55:20,-25.24,130.99,57.2,35,100,17.22,overcast clouds
15,Ushuaia,AR,2020-05-11 00:55:20,-54.8,-68.3,42.8,87,75,20.8,broken clouds
16,Port Elizabeth,ZA,2020-05-11 00:54:59,-33.92,25.57,55.4,93,0,6.93,clear sky
17,Shingu,JP,2020-05-11 00:55:20,33.73,135.98,71.6,68,40,13.87,scattered clouds
18,Hithadhoo,MV,2020-05-11 00:55:21,-0.6,73.08,85.26,77,100,12.41,light rain
19,Faanui,PF,2020-05-11 00:55:21,-16.48,-151.75,82.02,76,70,9.4,broken clouds
20,Coquimbo,CL,2020-05-11 00:55:21,-29.95,-71.34,55.4,87,0,2.24,clear sky
21,Puerto Ayora,EC,2020-05-11 00:50:58,-0.74,-90.35,75.99,93,0,3.0,clear sky
22,Mataura,NZ,2020-05-11 00:55:21,-46.19,168.86,55.76,69,100,1.54,overcast clouds
23,Lagoa,PT,2020-05-11 00:55:21,39.05,-27.98,57.61,71,0,23.22,clear sky
24,Selma,US,2020-05-11 00:55:21,36.57,-119.61,91.4,18,1,8.66,clear sky
25,Voznesenye,RU,2020-05-11 00:55:21,61.01,35.48,36.99,79,46,4.09,scattered clouds
26,Tezu,IN,2020-05-11 00:55:21,27.92,96.17,84.6,33,46,1.03,scattered clouds
27,Douglas,US,2020-05-11 00:50:34,41.3,-96.17,53.6,25,1,11.41,clear sky
28,Campo Grande,BR,2020-05-11 00:55:22,-20.44,-54.65,68.0,68,0,6.93,clear sky
29,Oktyabrskoye,RU,2020-05-11 00:55:22,43.06,44.74,40.84,70,45,5.21,scattered clouds
30,Arman,RU,2020-05-11 00:55:22,59.7,150.17,45.03,57,99,7.25,overcast clouds
31,Dumas,US,2020-05-11 00:55:22,35.87,-101.97,62.6,45,1,12.75,clear sky
32,Bredasdorp,ZA,2020-05-11 00:55:22,-34.53,20.04,59.0,93,0,1.12,clear sky
