City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,57.0,broken clouds,-33.65,115.33,Observatory Guest House
1,Albany,US,50.0,light rain,42.6,-73.97,
4,Dossor,KZ,55.27,overcast clouds,47.53,52.98,"Gostinitsa Orpk ""Nauryz"""
5,Ribeira Grande,PT,58.41,clear sky,38.52,-28.7,Quinta da Meia Eira
7,Hovd,MN,55.81,clear sky,48.01,91.64,Hotel Khovd
8,Yulara,AU,57.2,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
9,Port Elizabeth,ZA,55.4,clear sky,-33.92,25.57,39 On Nile Guest House
11,Coquimbo,CL,55.4,clear sky,-29.95,-71.34,Hotel San Juan
13,Mataura,NZ,55.76,overcast clouds,-46.19,168.86,Ellie's Villa
14,Lagoa,PT,57.61,clear sky,39.05,-27.98,Casa Das Faias
15,Douglas,US,53.6,clear sky,41.3,-96.17,Hilton Garden Inn Omaha West
18,Dumas,US,62.6,clear sky,35.87,-101.97,Holiday Inn Express & Suites Dumas
19,Bredasdorp,ZA,59.0,clear sky,-34.53,20.04,Bredasdorp Country Manor
20,Kaitangata,NZ,55.99,broken clouds,-46.28,169.85,Kaitangata Motor Camp
22,Jamestown,US,51.8,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
34,Kaeo,NZ,64.99,overcast clouds,-35.1,173.78,Bushido Lodge
36,Mangalia,RO,57.0,broken clouds,43.8,28.58,Hotel Saturn
37,Svetlyy,RU,59.0,light rain,54.67,20.13,"Hostel ""Baltiysky Les"""
39,Three Hills,CA,50.0,broken clouds,51.7,-113.27,Super 8 by Wyndham Three Hills AB
40,Siderno,IT,64.99,broken clouds,38.28,16.3,Grand Hotel President
43,Hermanus,ZA,54.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
45,Bethel,US,57.2,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
50,Esperance,AU,53.6,overcast clouds,-33.87,121.9,Hospitality Esperance
51,Borovoy,RU,57.2,clear sky,55.43,86.08,Tsimus
54,New Norfolk,AU,54.0,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
55,Launceston,AU,55.99,overcast clouds,-41.45,147.17,Hotel Grand Chancellor Launceston
58,Ilongero,TZ,58.32,overcast clouds,-4.67,34.87,
59,Steinbach,DE,61.0,very heavy rain,50.17,8.57,Central Hotel Eschborn
62,Erdaojiang,CN,56.98,clear sky,41.78,126.03,Tonggang Hotel
63,Norman Wells,CA,59.0,scattered clouds,65.28,-126.83,Heritage Hotel
65,Calvinia,ZA,62.85,clear sky,-31.47,19.78,Die Lemoenhuis
69,Bluff,NZ,54.43,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
72,Pacific Grove,US,64.0,clear sky,36.62,-121.92,Lovers Point Inn
74,Mar Del Plata,AR,60.01,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
75,Sidi Ali,DZ,60.26,clear sky,36.1,0.42,
76,Hobart,AU,54.0,overcast clouds,-42.88,147.33,St Ives Apartments
77,Varzea Da Palma,BR,59.85,clear sky,-17.6,-44.73,Hotel Mineiro Ltda
78,Swellendam,ZA,59.0,clear sky,-34.02,20.44,De Kloof Luxury Estate boutique Hotel & SPA
80,Tuatapere,NZ,56.16,light rain,-46.13,167.68,Tom Cruse Refreshment Company
81,Vallenar,CL,58.55,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
84,Torata,PE,61.48,clear sky,-17.08,-70.84,Lodging Sra. Tina Vera
85,Castro,BR,54.28,clear sky,-24.79,-50.01,CHACARA BAILLY
86,Pingliang,CN,52.05,scattered clouds,35.54,106.69,Xinxiang Hostel
88,Cape Town,ZA,62.01,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
89,Mporokoso,ZM,57.92,broken clouds,-9.37,30.12,Fairview Home Lodge
93,Lompoc,US,61.0,overcast clouds,34.64,-120.46,Holiday Inn Express Lompoc
99,Maltahohe,,58.69,clear sky,-24.83,16.98,Hotel Maltahöhe
101,Palmer,US,57.2,scattered clouds,42.16,-72.33,Wedgewood Motel
102,Temir,KZ,56.19,light rain,49.14,57.13,
104,Villa Maria,AR,57.99,clear sky,-32.41,-63.24,Hotel Milenium
